addr	old	new
401000	FUN_00401000	OggPage_continued
401020	FUN_00401020	OggPage_bos
401040	FUN_00401040	OggPage_eos
401060	FUN_00401060	OggPage_granulepos
4010f0	FUN_004010f0	OggPage_serialno
401120	FUN_00401120	OggStream_init
4011e0	FUN_004011e0	OggStream_clear
401230	FUN_00401230	OggStream_lacingExpand
4012a0	FUN_004012a0	OggPage_checksumSet
401330	FUN_00401330	OggSync_reset
401360	FUN_00401360	OggBuffer_free
4013a0	FUN_004013a0	OggSync_buffer
401450	FUN_00401450	OggSync_wrote
401480	FUN_00401480	OggSync_pageseek
4015c0	FUN_004015c0	OggStream_pagein
4018f0	FUN_004018f0	OggSync_reset2
401930	FUN_00401930	OggStream_reset
4019c0	FUN_004019c0	OggStream_resetSerialno
4019f0	FUN_004019f0	OggStream_packetOut_impl
401b10	FUN_00401b10	OggStream_packetout
401b40	FUN_00401b40	OggStream_packetpeek
401c40	FUN_00401c40	oggpack_write
401d70	FUN_00401d70	oggpack_look
401e30	FUN_00401e30	oggpack_adv
401e80	FUN_00401e80	BitReader_getBits
401f80	FUN_00401f80	string_moveConstruct
401ff0	FUN_00401ff0	std_ostream_insert_string
40217e	FUN_0040217e	std_ostream_insert_cleanup
4021e0	FUN_004021e0	RBTreeNode_createString
402210	FUN_00402210	std_vector_char_insert_wrap
402280	FUN_00402280	std_vector_int_insert_wrap
4022f0	FUN_004022f0	std_destroy_ptr_range
402350	FUN_00402350	std_fputc_nofail
402370	FUN_00402370	std_vector_char_insert
402500	FUN_00402500	std_vector_int_insert
4026a0	FUN_004026a0	RBTree_insertRebalance
4028d0	FUN_004028d0	map_insertUnique
402ac0	FUN_00402ac0	map_insertHint
402d50	FUN_00402d50	std_rotate
402e20	FUN_00402e20	copyBytes
402e50	FUN_00402e50	std_copy_low_byte
402e80	FUN_00402e80	vectorString_popBack
402ed0	FUN_00402ed0	signal_dispatchArg
402f80	FUN_00402f80	uivm_pop_int
402fd0	FUN_00402fd0	uivm_pop_float
403030	FUN_00403030	uivm_push_int
4030c0	FUN_004030c0	swap_u32
4030e0	FUN_004030e0	std_locale_getfacet
4032e0	FUN_004032e0	string_moveConstruct2
403350	FUN_00403350	string_assignCStr
4033b0	FUN_004033b0	string_defaultInit
4034c0	FUN_004034c0	vectorString_copyElem
403eb0	FUN_00403eb0	string_dtor
403ee0	FUN_00403ee0	eh_cleanup_delete_node
404040	FUN_00404040	eh_cleanup_release
404060	FUN_00404060	std_ostream_sentry_dtor
404090	FUN_00404090	string_moveAssign
4040d0	FUN_004040d0	std_container_assign_range
4041c0	FUN_004041c0	map_insertOrAssignStr
4042e0	FUN_004042e0	map_findOrInsertEmpty
4043c0	FUN_004043c0	string_lessCompare
4043f0	FUN_004043f0	filebuf_dtor
4044f0	FUN_004044f0	std_filebuf_deleting_dtor
404650	FUN_00404650	uivm_op_index_add
404760	FUN_00404760	uivm_op_signed_combine
404890	FUN_00404890	uivm_op_binary_call
4049a0	FUN_004049a0	uivm_op_add
404ab0	FUN_00404ab0	uivm_op_scale
404be0	FUN_00404be0	uivm_op_logical_and
404cf0	FUN_00404cf0	uivm_op_bool_and
404e00	FUN_00404e00	uivm_op_masked_and
404f10	FUN_00404f10	uivm_op_cond_and
405060	FUN_00405060	string_move
4050c0	FUN_004050c0	RBTreeNode_alloc
405100	FUN_00405100	uivm_op_push_arg
405120	FUN_00405120	widget_checkbutton_ctor
4051b0	FUN_004051b0	uivm_op_push_or_zero
4051e0	FUN_004051e0	uivm_op_push_scaled
405210	FUN_00405210	uivm_dispatch_loop
405290	FUN_00405290	uivm_op_push_via_helper
4052b0	FUN_004052b0	uivm_op_store_state
4052e0	FUN_004052e0	widget_caption_format_cos
4053b0	FUN_004053b0	uivm_op_dispatch3
405420	FUN_00405420	string_fillAssign
405470	FUN_00405470	std_fill_n_bytes
4054b0	FUN_004054b0	vector_fillN
4054f0	FUN_004054f0	string_grow
405640	FUN_00405640	uivm_op_load_indexed
405700	FUN_00405700	uivm_op_idiv
405810	FUN_00405810	std_string_deleting_dtor
405850	FUN_00405850	uivm_op_ieq
405960	FUN_00405960	uivm_op_ieq_sqdiff
405a70	FUN_00405a70	uivm_op_ieq_scaled
405ba0	FUN_00405ba0	uivm_op_ieq_offset
405cc0	FUN_00405cc0	filebuf_endWrite
405e10	FUN_00405e10	RBTree_eraseRecursive
405e70	FUN_00405e70	uivm_op_fadd
405f90	FUN_00405f90	uivm_op_fdiv
4060b0	FUN_004060b0	uivm_op_feq
4061e0	FUN_004061e0	uivm_op_fle
406300	FUN_00406300	uivm_op_flt
406420	FUN_00406420	uivm_op_fge
406540	FUN_00406540	uivm_op_fgt
406660	FUN_00406660	uivm_op_push_const
4066f0	FUN_004066f0	uivm_op_ftoi
4067c0	FUN_004067c0	uivm_op_ftoi_scaled
4068b0	FUN_004068b0	uivm_op_series_sum
4069c0	FUN_004069c0	uivm_op_identity_wrap
4069e0	FUN_004069e0	uivm_op_fmul
406b00	FUN_00406b00	uivm_op_fne
406c30	FUN_00406c30	uivm_op_fsub
406d50	FUN_00406d50	uivm_list_push_depth
406dc0	FUN_00406dc0	uivm_list_push_depth_off
406e30	FUN_00406e30	uivm_list_push_cond
406ec0	FUN_00406ec0	uivm_list_push_depth2
406f30	FUN_00406f30	uivm_op_ile
407040	FUN_00407040	uivm_op_ile2
407170	FUN_00407170	uivm_op_ige
407290	FUN_00407290	uivm_op_ilt_flagged
4073d0	FUN_004073d0	uivm_op_icmp_special
407510	FUN_00407510	uivm_op_load_scaled_index
407570	FUN_00407570	uivm_op_load_scaled_index2
407620	FUN_00407620	uivm_op_load_index_ret
407680	FUN_00407680	uivm_op_load_index
4076d0	FUN_004076d0	uivm_op_igt
4077f0	FUN_004077f0	uivm_op_cmp_gt_adjusted
407910	FUN_00407910	uivm_op_cmp_scaled_lt
407a50	FUN_00407a50	uivm_op_less_dispatch
407c40	FUN_00407c40	uivm_op_cmp_range
407d50	FUN_00407d50	string_resize
407e00	FUN_00407e00	uivm_fold_add_helper
407e30	FUN_00407e30	uivm_op_push_int_identity
407ed0	FUN_00407ed0	uivm_op_push_folded
407f80	FUN_00407f80	uivm_op_push_computed_array
408080	FUN_00408080	uivm_op_int_to_float
408150	FUN_00408150	uivm_identity_int
408160	FUN_00408160	uivm_op_mod5_stub
4081b0	FUN_004081b0	uivm_map_small_int
4081e0	FUN_004081e0	uivm_identity_passthrough
408230	FUN_00408230	uivm_op_select_if_zero
408280	FUN_00408280	uivm_op_accumulate
4082f0	FUN_004082f0	uivm_op_zero_if_nonzero
408350	FUN_00408350	uivm_op_zero_if_nonzero_f
4083f0	FUN_004083f0	widget_btncheck_eval
408460	FUN_00408460	uivm_op_cmp_push_const
4085a0	FUN_004085a0	uivm_op_cmp_push_vec
4088a0	FUN_004088a0	uivm_op_series_compare
408a00	FUN_00408a00	uivm_op_le
408b10	FUN_00408b10	uivm_op_lt
408c20	FUN_00408c20	uivm_op_lt_double
408d50	FUN_00408d50	uivm_op_cmp_push_scaled
408eb0	FUN_00408eb0	uivm_op_lt_2
408fc0	FUN_00408fc0	map_lowerBound
4090b0	FUN_004090b0	uivm_op_mod
4091c0	FUN_004091c0	uivm_op_mul
4092e0	FUN_004092e0	uivm_op_mul_2
4093e0	FUN_004093e0	uivm_op_affine
409500	FUN_00409500	uivm_op_ne_offset
409620	FUN_00409620	uivm_op_diff
409730	FUN_00409730	widget_frame_text_eval
409860	FUN_00409860	uivm_op_abs_compare
409970	FUN_00409970	uivm_op_ne
409a80	FUN_00409a80	uivm_op_is_zero
409b50	FUN_00409b50	uivm_op_is_zero_scaled
409c20	FUN_00409c20	uivm_op_abs_le_zero
409cf0	FUN_00409cf0	uivm_op_cond_flag
409de0	FUN_00409de0	uivm_op_is_zero_409de0
409eb0	FUN_00409eb0	uivm_op_logical_or
409fc0	FUN_00409fc0	uivm_op_absum_positive
40a0e0	FUN_0040a0e0	uivm_op_logical_or2
40a200	FUN_0040a200	uivm_op_logical_or_call
40a350	FUN_0040a350	uivm_pop_n_operands
40a3a0	FUN_0040a3a0	uivm_pop_operands_alt
40a430	FUN_0040a430	uivm_op_push_zero_wrapper
40a4c0	FUN_0040a4c0	uivm_pop_operands_switch
40a560	FUN_0040a560	uivm_op_push_indexed
40a600	FUN_0040a600	uivm_op_push_int
40a690	FUN_0040a690	uivm_op_button_press_push
40a740	FUN_0040a740	uivm_op_push_repeat
40a860	FUN_0040a860	uivm_op_dispatch_or_push
40a9c0	FUN_0040a9c0	uivm_pop_and_process
40aa50	FUN_0040aa50	uivm_eval_and_emit
40aaf0	FUN_0040aaf0	uivm_eval_wrapper
40ab10	FUN_0040ab10	uivm_build_and_emit
40abf0	FUN_0040abf0	uivm_pop_and_emit
40ac80	FUN_0040ac80	uivm_compute_offsets
40ad70	FUN_0040ad70	uivm_op_build_buffer_push
40af30	FUN_0040af30	uivm_op_compute_push
40b0a0	FUN_0040b0a0	uivm_op_wrap_offset
40b0c0	FUN_0040b0c0	uivm_op_compute_eval_push
40b270	FUN_0040b270	uivm_op_sub
40b380	FUN_0040b380	uivm_op_sub_wrap
40b390	FUN_0040b390	uivm_op_sub2
40b4e0	FUN_0040b4e0	strstreambuf_tidy
40b550	FUN_0040b550	uivm_op_push_int2
40b5e0	FUN_0040b5e0	uivm_op_push_adjusted
40b680	FUN_0040b680	uivm_op_push_or_offset
40b730	FUN_0040b730	uivm_op_named_push
40b9f0	FUN_0040b9f0	uivm_op_float_to_int
