addr	old	new
401000	FUN_00401000	assign_two_qwords
401020	FUN_00401020	copy_3_bytes
401040	FUN_00401040	set_3_bytes
401060	FUN_00401060	Vec3_copy
401080	FUN_00401080	Vec3_set
4010b0	FUN_004010b0	store_4_dwords
4010e0	FUN_004010e0	String_ctorFromCStr
401140	FUN_00401140	Creature_zeroInit
401370	FUN_00401370	copy_4_bytes
4013a0	FUN_004013a0	String_destroy
4013d0	FUN_004013d0	getElemPtr4
4013e0	FUN_004013e0	ptr_add_offset
4013f0	FUN_004013f0	std_vector_int_at
401420	FUN_00401420	fixedpoint16_to_float
401450	FUN_00401450	vec3_sub
401490	FUN_00401490	int64_sub
4014b0	FUN_004014b0	int64_sub_timecall
4014f0	FUN_004014f0	vec3_add
401530	FUN_00401530	int64_add_timecall
401570	FUN_00401570	vec2_dot
4015a0	FUN_004015a0	vec3_dot
4015e0	FUN_004015e0	vec2_scale
401610	FUN_00401610	vec3_scale
401650	FUN_00401650	vec3_add_inplace
4016c0	FUN_004016c0	call_ptr_n_times
4016f0	FUN_004016f0	String_reserveGrow
401840	FUN_00401840	std_string_grow
4018f0	FUN_004018f0	std_allocate
401920	FUN_00401920	String_replaceRange
401a40	FUN_00401a40	String_assign
401c00	FUN_00401c00	String_erase
401ca0	FUN_00401ca0	std_fabsf
401cd0	FUN_00401cd0	Matrix4_setIdentity
401d40	FUN_00401d40	vec2_length
401d80	FUN_00401d80	vec3_length
401f50	FUN_00401f50	vec2_normalize
401fb0	FUN_00401fb0	vec3_normalize
402030	FUN_00402030	matrix_rotate_columns
402150	FUN_00402150	get_field_0x44
402160	FUN_00402160	get_field_0x48
402170	FUN_00402170	get_field_0x4c
402180	FUN_00402180	vec2_length_sq
4021b0	FUN_004021b0	vec3_length_sq
4021f0	FUN_004021f0	mat4_transform_point
4022e0	FUN_004022e0	mat4_translate_vec
4023b0	FUN_004023b0	mat4_translate
402480	FUN_00402480	std_asinf
4024a0	FUN_004024a0	std_cosf
4024c0	FUN_004024c0	std_sinf
4024e0	FUN_004024e0	std_sqrtf
402510	FUN_00402510	Vec3i64_randomize
402550	FUN_00402550	Vec3i64_toFloatScaled
4025b0	FUN_004025b0	RBNode_allocSetKey
4025f0	FUN_004025f0	RBTree_insertNode
402840	FUN_00402840	RBTree_insertRebalance
402990	FUN_00402990	vec3_store
4029b0	FUN_004029b0	CombatState_zeroInit
402a10	FUN_00402a10	int64_assign_timecall
402a40	FUN_00402a40	Copy24Bytes
402a70	FUN_00402a70	Struct_copy0x118
402b10	FUN_00402b10	RBTree_findOrInsert
402bb0	FUN_00402bb0	ptr_index_dword
402bc0	FUN_00402bc0	getField_plus0x10
402bd0	FUN_00402bd0	Vec3i64_copyAndScale
402c10	FUN_00402c10	iterator_advance_0x11c
402c30	FUN_00402c30	iterator_advance_0xc
402c50	FUN_00402c50	Vec3i64_subtract
402cb0	FUN_00402cb0	Vec3i64_add
402d10	FUN_00402d10	fixedpoint_greater
402d40	FUN_00402d40	fixedpoint_greater_call
402d80	FUN_00402d80	Int64_lessThan
402db0	FUN_00402db0	Vec3i64_scaleFixed
402e30	FUN_00402e30	int64x3_add
402e60	FUN_00402e60	int64_add
402e80	FUN_00402e80	int64x3_sub
402eb0	FUN_00402eb0	int64_sub2
402ed0	FUN_00402ed0	RBTree_destroyRec
405330	FUN_00405330	World_clearContainers
405420	FUN_00405420	std_map_find_value
405450	FUN_00405450	Vec3i64_toBlockCoords
405510	FUN_00405510	fixedpoint_to_int_floor
405570	FUN_00405570	set_flag_bits_0x114
4055a0	FUN_004055a0	std_powf
405610	FUN_00405610	copy_4_bytes_b
405660	FUN_00405660	int64_sub_shifted
405690	FUN_00405690	int64_add_shifted
4056c0	FUN_004056c0	Vec3_fixedMatMulAcc
