addr	name	kind	target
401000	FUN_00401000	lib	crtstl
401020	FUN_00401020	lib	crtstl
401040	FUN_00401040	lib	crtstl
401060	FUN_00401060	game	World
401080	FUN_00401080	game	World
4010b0	FUN_004010b0	lib	crtstl
4010e0	FUN_004010e0	game	World
401140	FUN_00401140	game	Creature
401370	FUN_00401370	lib	crtstl
4013a0	FUN_004013a0	game	World
4013d0	FUN_004013d0	game	World
4013e0	FUN_004013e0	lib	crtstl
4013f0	FUN_004013f0	lib	crtstl
401420	FUN_00401420	lib	crtstl
401450	FUN_00401450	lib	crtstl
401490	FUN_00401490	lib	crtstl
4014b0	FUN_004014b0	lib	crtstl
4014f0	FUN_004014f0	lib	crtstl
401530	FUN_00401530	lib	crtstl
401570	FUN_00401570	lib	crtstl
4015a0	FUN_004015a0	lib	crtstl
4015e0	FUN_004015e0	lib	crtstl
401610	FUN_00401610	lib	crtstl
401650	FUN_00401650	lib	crtstl
401690	vfunc_0	lib	crtstl
4016c0	FUN_004016c0	lib	crtstl
4016f0	FUN_004016f0	gamemisc	game_misc
401786	Catch_All@00401786	lib	crtstl
4017c3	Catch_All@004017c3	lib	crtstl
401840	FUN_00401840	lib	crtstl
4018f0	FUN_004018f0	lib	crtstl
401920	FUN_00401920	game	Server
401a40	FUN_00401a40	gamemisc	game_misc
401b40	vfunc_3	lib	crtstl
401b80	vfunc_3	lib	crtstl
401ba0	vfunc_4	lib	crtstl
401bc0	vfunc_5	lib	crtstl
401c00	FUN_00401c00	game	Server
401ca0	FUN_00401ca0	lib	crtstl
401cd0	FUN_00401cd0	gamemisc	game_misc
401d40	FUN_00401d40	lib	crtstl
401d80	FUN_00401d80	lib	crtstl
401dd0	vfunc_2	lib	crtstl
401e50	vfunc_2	lib	crtstl
401ea0	vfunc_2	lib	crtstl
401f20	vfunc_1	lib	crtstl
401f30	vfunc_1	lib	crtstl
401f40	vfunc_1	lib	crtstl
401f50	FUN_00401f50	lib	crtstl
401fb0	FUN_00401fb0	lib	crtstl
402030	FUN_00402030	lib	crtstl
402150	FUN_00402150	lib	crtstl
402160	FUN_00402160	lib	crtstl
402170	FUN_00402170	lib	crtstl
